DHSCLUST,goes_out,neglect_children,Urgues,Refuse_sex,Burns_Food,Overall
29,0,0,0,0,0,
29,0,0,0,0,0,
29,8,8,8,8,8,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,1,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,1,0,1,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
29,0,0,0,0,0,
30,0,0,0,0,1,
30,0,0,0,0,0,
30,0,0,0,0,0,
30,1,1,0,0,0,
30,1,1,1,0,1,
30,0,0,0,0,0,
30,0,0,0,0,0,
30,0,0,1,1,0,
30,0,1,1,0,0,
30,0,0,0,0,0,
30,0,0,0,0,0,
30,1,1,0,0,0,
30,0,0,1,0,1,
30,1,1,1,0,0,
30,0,0,0,0,0,
30,0,0,0,0,0,
30,0,0,0,0,0,
30,0,0,0,0,0,
30,0,0,0,0,0,
30,0,1,1,0,0,
30,0,0,0,0,0,
31,0,1,1,0,0,
31,0,1,1,0,0,
31,0,0,0,0,0,
31,0,1,1,0,0,
31,0,0,0,0,0,
31,1,1,1,1,1,
31,0,1,1,0,0,
31,1,1,1,1,1,
31,0,1,0,1,0,
31,0,0,0,0,0,
31,1,1,1,1,1,
31,1,1,1,1,1,
31,1,1,1,1,1,
31,1,1,1,1,1,
31,0,1,1,0,0,
31,0,0,0,0,0,
31,1,1,1,8,1,
31,0,1,0,0,0,
31,1,1,1,1,1,
31,0,0,0,0,0,
31,1,0,1,1,1,
31,1,1,1,1,1,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,1,1,1,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
32,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,1,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,1,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,0,
33,0,0,0,0,1,
33,0,0,0,0,0,
33,0,0,0,0,0,
34,0,1,0,0,0,
34,0,0,1,0,0,
